species,data type,psi,gs
Prunus ilicifolia,1,0.7,47.91454514
Prunus ilicifolia,1,0.7005,26.21454514
Prunus ilicifolia,1,0.724,63.41454514
Prunus ilicifolia,1,0.749,28.41454514
Prunus ilicifolia,1,0.75,22.41454514
Prunus ilicifolia,1,0.87,97.41454514
Prunus ilicifolia,1,0.987,75.41454514
Prunus ilicifolia,1,1.05,50.41454514
Prunus ilicifolia,1,1.2,9.214545138
Prunus ilicifolia,1,1.44,21.21454514
Prunus ilicifolia,1,1.6,37.41454514
Prunus ilicifolia,1,1.8,13.81454514
Prunus ilicifolia,1,1.86,18.31454514
Prunus ilicifolia,1,1.923,2.064545138
Quercus agrifolia,1,0.078,119.8910358
Quercus agrifolia,1,0.085,44.39103577
Quercus agrifolia,1,0.086,68.89103577
Quercus agrifolia,1,0.115,48.89103577
Quercus agrifolia,1,0.14,86.89103577
Quercus agrifolia,1,0.159,128.8910358
Quercus agrifolia,1,0.16,88.89103577
Quercus agrifolia,1,0.162,83.89103577
Quercus agrifolia,1,0.175,75.89103577
Quercus agrifolia,1,0.184,73.89103577
Quercus agrifolia,1,0.198,16.69103577
Quercus agrifolia,1,0.204,101.8910358
Quercus agrifolia,1,0.293,118.8910358
Quercus agrifolia,1,0.327,67.89103577
Quercus agrifolia,1,0.334,114.8910358
Quercus agrifolia,1,0.359,135.8910358
Quercus agrifolia,1,0.382,91.89103577
Quercus agrifolia,1,0.392,89.89103577
Quercus agrifolia,1,0.434,130.8910358
Quercus agrifolia,1,0.452,95.89103577
Quercus agrifolia,1,0.461,49.89103577
Quercus agrifolia,1,0.462,125.8910358
Quercus agrifolia,1,0.505,56.89103577
Quercus agrifolia,1,0.52,93.89103577
Quercus agrifolia,1,0.53,147.8910358
Quercus agrifolia,1,0.543,88.89103577
Quercus agrifolia,1,0.601,95.89103577
Quercus agrifolia,1,0.822,158.8910358
Quercus agrifolia,1,0.984,114.8910358
Quercus agrifolia,1,1.09,59.89103577
Quercus agrifolia,1,1.14,107.8910358
Quercus agrifolia,1,1.145,74.89103577
Quercus agrifolia,1,1.29,135.8910358
Quercus agrifolia,1,1.308,61.89103577
Quercus agrifolia,1,1.333,60.89103577
Quercus agrifolia,1,1.342,169.8910358
Quercus agrifolia,1,1.345,116.8910358
Quercus agrifolia,1,1.397,123.8910358
Quercus agrifolia,1,1.429,56.89103577
Quercus agrifolia,1,1.438,180.8910358
Quercus agrifolia,1,1.467,85.89103577
Quercus agrifolia,1,1.691,37.89103577
Quercus agrifolia,1,1.867,78.89103577
Quercus agrifolia,1,1.875,101.8910358
Quercus agrifolia,1,1.915,109.8910358
Quercus agrifolia,1,1.943,69.89103577
Quercus agrifolia,1,1.983,63.89103577
Quercus agrifolia,1,1.995,105.8910358
Quercus agrifolia,1,1.997,155.8910358
Quercus agrifolia,1,1.9997,18.69103577
Quercus agrifolia,1,2.012,60.89103577
Quercus agrifolia,1,2.04,19.69103577
Quercus agrifolia,1,2.101,74.89103577
Quercus agrifolia,1,2.128,141.8910358
Quercus agrifolia,1,2.19,60.89103577
Quercus agrifolia,1,2.26,74.89103577
Quercus agrifolia,1,2.39,3.791035771
Quercus agrifolia,1,2.74,23.49103577
Quercus agrifolia,1,2.76,63.89103577
Quercus agrifolia,1,2.763,153.8910358
Quercus agrifolia,1,3.01,35.39103577
Quercus agrifolia,1,3.025,48.89103577
Quercus agrifolia,1,3.044,3.291035771
Quercus agrifolia,1,3.055,48.89103577
Quercus agrifolia,1,3.158,4.691035771
